host	avian	#b2182b
host	swine	#2166ac
host	equine	#de77ae
host	feline	#f4a582
host	canine	#8c510a
host	camel	#a1d76a
host	donkey	#d8b365
host	seal	#c51b7d
host	wild_boar	#92c5de
host	mink	#9970ab
order	galliformes	#b2182b
order	swine	#2166ac
order	neoave	#de77ae
order	avian	#f4a582
order	canine	#8c510a
order	equine	#a1d76a
order	seal	#d8b365
order	mink	#c51b7d
order	feline	#92c5de
order	anseriformes	#9970ab
order	camel	#b2182b
subtype	h3n2	#b2182b
subtype	h3n8	#2166ac
subtype	h3n6	#de77ae
subtype	h3n1	#f4a582
subtype	h3	#8c510a
subtype	h3n3	#a1d76a
subtype	h3n7	#d8b365
subtype	h3n5	#c51b7d
subtype	h3n5	#92c5de
subtype	h3n9	#9970ab
subtype	h3n4	#a6dba0
